`0x43001160`; `Sound Options`
`0x430039c0`; `Weaponized Saberling Soda Cooler: <TEB 1124091129>. Although an energy shield protects most of its body from damage, shooting out its jet thrusters will disable the shield and bring this enemy crashing to the ground. `
`0x430039c1`; `Weaponized Saberling Cordless Headphones: <TEB 1124091129>. Surprisingly fast, these vicious pack hunters can prove deadly when met in large numbers.`
`0x430039c2`; `Weaponized Saberling Steam Iron: <TEB 1124091129>. Heavy iron armour can make this enemy quite tough to conquer, but it can be damaged by attacking its vulnerable interior when its plates are open.`
`0x430039c3`; `Weaponized Saberling Microwave Oven: Resistant to most damage, but it will overload its circuits if an explosive object is thrown inside it whilst its door is open.`
`0x430039c4`; `Saberling Insect Zapper: <TEB 1124091127>. Its ultra-violet radiation field is hazardous to insects.`
`0x430039c5`; `Weaponized Saberling Motion Sensor: <TEB 1124091128>. Its deadly laser blast can cut through all known types of energy shield, and will even destroy wooden doors; however the laser will bounce off glass surfaces.`
`0x430039c6`; `Weaponized Saberling Optical Mouse: <TEB 1124091129>. Despite their small size, these vermin can close in fast to strike with their electrified whips.`
`0x430039c7`; `Weaponized Saberling Paper Shredder: <TEB 1124091127>. The ultimate security guard. Shielded from most damage sources, it can only be destroyed by a motion sensor laser.`
`0x430039c8`; `Saberling Radio Clock: <TEB 1124091129>. These sinister floating creatures can wake up sleeping appliances and will even break containers to unleash new enemies.`
`0x430039c9`; `Weaponized Saberling Radio Alarm Clock: <TEB 1124091129>. These sinister floating creatures can wake up sleeping appliances and will even break containers to unleash new enemies.`
`0x430039ca`; `Weaponized Saberling Satellite Dish: <TEB 1124091132>. Creates an inpenetrable barrier to block off areas or protect other enemies.`
`0x430039cb`; `Weaponized Saberling Security Door: <TEB 1124091127>. Use Mooch to bypass the fast-moving jaws. Mechanism can be disabled by activating the door switch.`
`0x430039cc`; `Weaponized Saberling Ceiling-Mounted Speaker: Acts as a fixed-position target for the Magnetic Grapple.`
`0x430039cd`; `Weaponized Saberling Wall-Mounted Speaker: <TEB 1124091128>. Acts as a moving target for the Magnetic Grapple.`
`0x430039ce`; `Weaponized Saberling Table Lamp: <TEB 1124091128>. Although it often behaves as a troop transport for hostile appliances, by grabbing its dangling power cord you can trick this enemy into carrying you to otherwise unreachable places.`
`0x430039cf`; `Weaponized Saberling Toaster: <TEB 1124091129>. This scuttling enemy can close in rapidly on an unprepared victim. Its glowing hot filaments must be avoided at all costs.`
`0x430039d0`; `Weaponized Saberling Torch: <TEB 1124091129>. It deploys electrical mines to blanket the area with a deadly EMP field, but its homing missiles can be lured to strike other targets.`
`0x430039d1`; `Weaponized Saberling Automated Vacuum Cleaner: <TEB 1124091127>. This guard keeps its territory clean from unwanted intruders. Protected by an energy shield, it can only be destroyed by a motion sensor laser.`
`0x430039d2`; `Weaponized Saberling Waffle Maker: <TEB 1124091129>. Little more than a set of snapping jaws, a horde of these mindless kitchen appliances can soon overwhelm their prey.`
`0x430039d3`; `Weaponized Saberling Water Cooler: <TEB 1124091129>. Its protective energy shield cannot cover its hot water container, indicating a possible weakpoint.`
`0x430039d4`; `Weaponized Saberling Personal Computer: <TEB 1124091129>. This "zombie computer" can only be damaged by attacking its vulnerable interior. Wait for it to spawn CPU Fans, then move in to strike its weakpoint.`
`0x430039dd`; `Use the Cargo Transport`
`0x430039de`; `Juarez has opened access to the cargo transport system – use them to quickly access the monorail stations.`
`0x430039df`; `Access the Control Room `
`0x430039e0`; `The door to where Hurley is trapped is locked. Find a way into the control room on the upper floor to open it.`
`0x430039e5`; `Overload Clusterstorm’s Defenses `
`0x430039e6`; `Fill the power core sockets to overload Clusterstorm’s defense system. This should give the team enough time to take control of Yanshu’s satellite weapon.`
`0x430039eb`; `Use <SB 1074266172> to steer. Press <SB 1074266113> to jump.`
`0x430039ec`; `Use <SB 1074266130> to aim. Press <SB 1074266184> to fire the Pulse Cannon. Hold <SB 1074266185> and paint over targets then release to fire Homing Missiles.`
`0x43003a0c`; `Stay out of sight of the guards and head towards the objective.`
`0x43003a0d`; `Press  <SB 1074266141> to view the map screen and help you find your objective.`
`0x43003a0f`; `Press <SB 1074266144> to select the Saberlizer. Hold <SB 1074266169> to aim and enter scanning vision.`
`0x43003a17`; `Use <SB 1074266172> to climb up and down the pipe. Press <SB 1074266122> to drop from the pipe or hold <SB 1074266113> to jetpack from the pipe at any time.`
`0x43003a25`; `Use  <SB 1074266172> to move. Use the Wii Remote to aim.`
`0x43003a2f`; `Vent covers can be destroyed using the Plasma Gun.`
`0x43003a30`; `Press <SB 1074266143> to equip the Plasma Gun.`
`0x43003a32`; `Hold <SB 1074266169> to aim. Press <SB 1074266153> to shoot while aiming.`
`0x43003a34`; `Weak Container: Container has minimal structural strength and can be destoyed by any type of attack.`
`0x43003a35`; `Strong Container: Container has high structural strength but lid can be opened with any type of attack.`
`0x43003a36`; `Vent Cover (Destroyed): This weak metal cover has been destroyed.`
`0x43003a37`; `Scan`
`0x43003a38`; `CLOSING...`
`0x43003a39`; `LOCKED`
`0x43003a3a`; `MALFUNCTION`
`0x43003a3b`; `NO POWER`
`0x43003a3c`; `OPENING...`
`0x43003a3d`; `SEALED`
`0x43003a3e`; `OPEN: AUTOMATIC`
`0x43003a4c`; `Lock onto enemies by holding <SB 1074266116>`
`0x43003a4e`; `Press <SB 1074266114> to attack with the Electro-Whip.`
`0x43003a50`; `While locked, move and press <SB 1074266113> to dodge or flip.`
`0x43003a52`; `Press <SB 1074266114> to attack with the Electro-Whip and destroy objects.`
`0x43003a54`; `Power Core Generator`
`0x43003a55`; `Power Core Socket`
`0x43003a56`; `UNUSED Door Locked: The door is locked but can be opened by a panel on one side.`
`0x43003a57`; `Dash`
`0x43003a58`; `Slow Time`
`0x43003a5b`; `Press <SB 1074266144> to select the Saberlizer. Hold <SB 1074266169> to aim and enter scanning vision.`
`0x43003a5d`; `Use <SB 1074266130> to select an object and hold <SB 1074266163> to perform a scan.`
`0x43003a5e`; `Use the Wii Remote to select an object and hold <SB 1074266163> to perform a scan.`
`0x43003a62`; `Scanning vision also shows the location and distance to your current mission objective.`
`0x43003a68`; `Help Log`
`0x43003a69`; `view floors`
`0x43003a6a`; `pan`
`0x43003a6b`; `zoom`
`0x43003a6c`; `Map Overview`
`0x43003a6d`; `Missions`
`0x43003a6e`; `Escape`
`0x43003a74`; `Shooting Saberling appliances with the Saberlizer will cause them to transform but will not cause any damage.`
`0x43003a75`; `Press  <SB 1074266144> to select the Saberlizer. Shoot the extractor fan with the Saberlizer <IM 100664183>`
`0x43003a76`; `Press <SB HT_ActionButton_Zoom> to toggle the zoom function for more accurate aiming.`
`0x43003a77`; `Use the vortex from the ceiling fan to reach the upper level.`
`0x43003a78`; `"Saberlizing" appliances can often help you complete your mission objectives. However, this can also create dangers so be careful!`
`0x43003a79`; `New Objective`
`0x43003a7d`; `Activate the Terminal`
`0x43003a7e`; `Get through the Frozen Offices`
`0x43003a7f`; `Destroy the Satellite Dish`
`0x43003a80`; `Gain Entry`
`0x43003a81`; `Reach the Exterior`
`0x43003a82`; `Retrieve the Keycard`
`0x43003a83`; `Use a motion sensor to activate this terminal, and gain entrance to the security office.`
`0x43003a84`; `These offices are frozen solid, you need to find a way out before the temperature drops any lower.`
`0x43003a85`; `The satellite dish is blocking your path and must be destroyed.`
`0x43003a86`; `Gain entrance to the floor below, the high tech crimes labs are somewhere on this level.`
`0x43003a87`; `Get to Saber fast - use an office to access the exterior of the building.`
`0x43003a88`; `Retrieve a keycard from the security office to access the High Tech Crimes lab.`
`0x43003a8c`; `Flying Egg Fan`
`0x43003a8d`; `Weaponized Flying Egg Fan`
`0x43003a8e`; `Whiteroom: Tutorial`
`0x43003a8f`; `Door Active (Exit): The door can be unlocked using the nearby panel. Scan indicates exit on the other side.`
`0x43003a90`; `Door Active (Store Room): The door can be unlocked using the nearby panel. Scan indicates a small storage room on the other side.`
`0x43003a91`; `Door Sealed: The door is locked and sealed. It cannot be opened.`
`0x43003a92`; `Press <SB 1074266113> to jump then go through the exit.`
`0x43003a94`; `Press <SB 1074266113> in mid-air to double-jump then go through the exit.`
`0x43003a96`; `Press and hold <SB 1074266113> to hover (don’t do the vertical boost just yet...)`
`0x43003a98`; `Hover then quickly release and re-press <SB 1074266113> to boost vertically.`
`0x43003a9a`; `Hold <SB 1074266169> to aim. Press <SB 1074266153> to shoot while aiming.`
`0x43003a9c`; `Hold <SB 1074266169> to aim.`
`0x43003a9e`; `Press  <SB 1074266114> to attack with the Electro-Whip.`
`0x43003aa0`; `Hold  <SB 1074266116> to lock onto enemies.`
`0x43003aa6`; `Press  <SB 1074266159> to deploy Mooch.`
`0x43003aa8`; `Fly Mooch through the vent.`
`0x43003aaa`; `Use  <SB 1074266172> to move. Use <SB 1074266173> to aim.`
`0x43003aab`; `Hold  <SB 1074266149> to fire the interference beam and activate the switch.`
`0x43003aad`; `Press  <SB 1074266160> to return to Darwin.`
`0x43003ab1`; `Hold <SB 1074266169> to aim. Aim at an object and hold  <SB 1074266163> to scan it.`
`0x43003ab3`; `Press  <SB 1074266144> to select the Saberlizer.`
`0x43003ab4`; `Scanning can also show you appliances that can be transformed by the Saberlizer.`
`0x43003ab6`; `Press  <SB 1074266153> while aiming to fire the Saberlizer. It will activate but the Saberlizer does not cause any damage.`
`0x43003ab7`; `Use the vortex from the ceiling fan to reach the vent.`
`0x43003ab8`; `Hold  <SB 1074266113> to hover out of the vortex before you are damaged by the ceiling fan.`
`0x43003abb`; `The door is sealed, look around for something to Saberlize.`
`0x43003abc`; `Lure the motion sensor laser into shooting the door but be careful to avoid the laser once it turns red.`
`0x43003abd`; `These Security Doors can be bypassed using Mooch.`
`0x43003abe`; `Hold  <SB 1074266121> to slow time and get past fast moving hazards.`
`0x43003ac3`; `EXIT`
`0x43003ac4`; `Lever: Activates remote devices when pulled. Returns to original position over time.`
`0x43003ac5`; `Server Socket: Interfaces with devices providing access to the secure server. `
`0x43003ac6`; `WiFi Transmitter: Produces a WiFi signal that can be used to hack into the server remotely. `
`0x43003ac7`; `KEYCARD REQUIRED`
`0x43003ac8`; `UNLOCKED`
`0x43003ac9`; `SCAN COMPLETE`
`0x43003aca`; `HOLOGRAPHIC SCANNER READY...`
`0x43003acb`; `SCANNING...`
`0x43003ad3`; `Exit Point`
`0x43003ad4`; `Use the door to exit from this area.`
`0x43003ad5`; `OBJECTIVE`
`0x43003ad6`; `OBJECTIVE`
`0x43003ada`; `DANGER`
`0x43003adb`; `Thank you for completing G-Force Team Training`
`0x43003adc`; `Welcome to G-Force Team Training`
`0x43003add`; `Hold  <SB 1074266120> to sprint.`
`0x43003ae1`; `Obtain Elevator Keycard`
`0x43003ae2`; `An elevator keycard is required to gain access to the Computer Center`
`0x43003ae3`; `Congratulations! You have completed the G-Force Team Challenge.`
`0x43003ae7`; `WINNER!`
`0x43003b05`; `Alternate Route to Elevators`
`0x43003b06`; `The path to the elevators is blocked. Juarez has found an alternative route through the toilets.`
`0x43003b07`; `Purchase the FlameThrower`
`0x43003b08`; `Use the gold data disk to purchase the Flame Thrower from the kiosk.`
`0x43003b09`; `Create New`
`0x43003b0a`; `Empty`
`0x43003b0b`; `Load Game`
`0x43003b0c`; `New Game`
`0x43003b0d`; `Save Game`
`0x43003b0e`; `Create New Save`
`0x43003b0f`; `This data was saved by G-Force`
`0x43003b10`; `G-Force Savedata`
`0x43003b11`; `Loading...`
`0x43003b12`; `Saving...`
`0x43003b1d`; `Options`
`0x43003b1e`; `Exit Menu`
`0x43003b1f`; `Pause Menu`
`0x43003b20`; `Security Door`
`0x43003b21`; `Juarez suggests trying the Saberlizer on the Saberling Security Door.`
`0x43003b22`; `Route to Blueprints`
`0x43003b23`; `Speckles has found a shorter way to the location of the speaker blueprints.`
`0x43003b24`; `Press and hold <SB 1074266113> to hover.`
`0x43003b2b`; `Silver Data Disk`
`0x43003b2c`; `A silver data disk containing design schematics which will unlock a new upgrade for purchase at vending kiosks.`
`0x43003b2d`; `Silver Data Disk: A silver data disk containing design schematics which will unlock a new upgrade for purchase at vending kiosks.`
`0x43003b2e`; `Music Volume`
`0x43003b2f`; `Sound FX Volume`
`0x43003b30`; `Speech Volume`
`0x43003b31`; `Subtitles`
`0x43003b32`; `Audio`
`0x43003b33`; `Invert Horizontal Axis`
`0x43003b34`; `Invert Vertical Axis (normal)`
`0x43003b35`; `Invert Vertical Axis (combat)`
`0x43003b36`; `Control Layout`
`0x43003b37`; `Rumble`
`0x43003b38`; `Controls`
`0x43003b39`; `3D`
`0x43003b3a`; `Display`
`0x43003b3b`; `Widescreen`
`0x43003b3c`; `Display Control Hints`
`0x43003b3d`; `Gameplay`
`0x43003b3e`; `Select Level`
`0x43003b3f`; `Quit Game`
`0x43003b40`; `KEYCARD REQUIRED`
`0x43003b41`; `POWER SOURCE REQUIRED`
`0x43003b42`; `TURN FOR MANUAL OVERRIDE`
`0x43003b43`; `To use a zip-line simply stand underneath and jump up to grab the handle.`
`0x43003c8f`; `Ammo: Cluster Cell`
`0x43003c90`; `Cluster Cells provide ammunition for the Cluster Rifle`
